East St Kilda Eye Clinic, 08:00,17:00,"85 Hotham St St Kilda East, Victoria 3183",(03) 9525 9455,https://www.eye-clinic.com.au/,Saturday&Sunday,-37.87,145.00,"Since 1988, East St Kilda Eye Clinic has been providing a range of eye care services to patients throughout Melbourne. Known as a centre of excellence in eye care, we work across Bayside and Inner South East Melbourne and can treat patients from St Kilda, Caulfield, Armadale, Malvern, Brighton, and Albert Park, as well as from further afield."
Vista Eyes Vision Specialists, 08:00,17:00,"1 Ross St, Elsternwick VIC 3185",(03) 8532 5000,https://www.vistaeyes.com.au/,Sunday,-37.89,145.00,"VISTAeyes is Melbourne’s first purpose-designed clinic to perform laser eye surgery. Founded in 1996 by Dr Rick Wolfe, a pioneer of LASIK and laser eye surgery in Australia, VISTAeyes is an industry leader in laser eye surgery and vision correction."
Eyecare Plus Optometrists(Oakleigh), 09:00,17:30,"48 Atherton Rd, Oakleigh VIC 3166",(03) 9568 1110,https://www.eyecareplus.com.au/,Sunday,-37.90,145.09,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Buckingham Ave), 09:00,17:30,"37A Buckingham Ave, Springvale VIC 3171",(03) 9558 4499,https://www.eyecareplus.com.au/,Sunday,-37.95,145.15,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Centre Dandenong), 09:00,17:00,"149 Centre Dandenong Rd, Cheltenham VIC 3192",(03) 9583 3596,https://www.eyecareplus.com.au/,Sunday,-37.97,145.07,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Queens Parade), 09:00,17:30,"302 Queens Parade, Clifton Hill VIC 3068",(03) 9486 2055,https://www.eyecareplus.com.au/,Sunday,-37.79,144.99,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Railway St), 09:00,20:00,"90 Railway St S, Altona VIC 3018",(03) 9398 1344,https://www.eyecareplus.com.au/,Sunday,-37.87,144.83,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Burgundy St), 08:30,17:30,"171 Burgundy St, Heidelberg VIC 3084",(03) 9459 5775,https://www.eyecareplus.com.au/,Sunday,-37.76,145.06,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Police Rd), 09:00,20:00,"431 Police Rd, Mulgrave VIC 3170",(03) 9790 0833,https://www.eyecareplus.com.au/,Sunday,-37.94,145.20,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(High St), 09:30,17:00,"237 High St, Kew VIC 3101",(03) 9853 0900,https://www.eyecareplus.com.au/,Sunday,-37.81,145.03,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Gladstone Park), 09:00,19:00,"156a/8-34 Gladstone Park Dr, Gladstone Park VIC 3043",(03) 9338 2720,https://www.eyecareplus.com.au/,Sunday,-37.69,144.88,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Luck St), 09:00,17:30,"23 Luck St, Eltham VIC 3095",(03) 9439 3936,https://www.eyecareplus.com.au/,Sunday,-37.71,145.15,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Plenty Rd), 09:00,20:00,"512 Plenty Rd, Mill Park VIC 3082",(03) 9436 9644,https://www.eyecareplus.com.au/,Sunday,-37.66,145.08,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Doncaster Rd), 09:00,17:00,"298 Doncaster Rd, Balwyn North VIC 3104",(03) 9816 4701,https://www.eyecareplus.com.au/,Saturday&Sunday,-37.79,145.09,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Plenty Rd), 09:00,17:30,"224 Plenty Rd, Bundoora VIC 3083",(03) 9467 7580,https://www.eyecareplus.com.au/,Sunday,-37.68,145.07,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Mitcham Rd), 08:30,17:30,"368 Mitcham Rd, Mitcham VIC 3132",(03) 9874 6289,https://www.eyecareplus.com.au/,Sunday,-37.81,145.19,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
Eyecare Plus Optometrists(Glen Huntly), 09:00,17:30,"343 Glen Huntly Rd, Elsternwick VIC 3185",(03) 9532 8033,https://www.eyecareplus.com.au/,Sunday,-37.88,145.00,Eyecare Plus is a selected group of independently owned and clinically driven optometry practices across Australia.
